name,description,price,originalPrice,category,subcategory,brand,model,partNumber,stock,rating,featured,badge,leadTime,keywords,image,specs
Paperless Data Logger SPR-600,"Full-featured paperless data logger with 4.3"" TFT display. Universal input support, 6/12/18 channels. Flash memory and USB pen drive support. RS-485, printer, and SD card output options.",30000,,Data Loggers,Paperless Recorders,Cautoni-Swastik,SPR-600,SPR-600,50,4.5,true,Premium,2 days,data logger; paperless; recorder; swastik; cautoni; tft; modbus,https://5.imimg.com/data5/YR/VJ/MY-2349477/paperless-data-logger-2f-recorder-500x500.png,"Display: 4.3 Inch TFT | Channels: 6/12/18 Channel | Dimension: 96x96 mm | Power Supply: 85V AC to 285V AC (SMPS) | Memory: Flash memory / USB pen drive | Accuracy: 0.1% in temperature/RH | Interface: RS-485, Printer, SD Card | Export Format: PDF / Excel"
Universal Digital Timer UT-4821,Multi-function universal digital timer with dual display. Selectable modes: Laundry/Cycle/Preset/On-delay. 2 setpoint relay outputs. Programmable up/down counting with memory option.,1552,,Timers & Counters,Digital Timers,Swastik,UT-4821,UT-4821,50,4.5,false,,Immediate,timer; digital; universal; swastik; dual display; programmable,https://5.imimg.com/data5/SELLER/Default/2023/4/297810653/DU/WG/GG/2349477/programmable-digital-timer-500x500.jpeg,"Operating Voltage: 90 to 270 V AC | Timing Capacity: 99.59 Hr-Min | Range: 9.999/99.99/999.9/99.59/9999 sec/min/hr | Mode: Laundry/Cycle/Preset/On-delay selectable | Output: 2 setpoint, 2 Relay (1 c/o) | Display: Dual Display | Reset: Front/Back Reset | Counting: Up/Down Programmable | Memory: Selectable memory option"
Digital Sequential Timer SST-968,"4-channel and 8-channel digital sequential timer for starter/control panel applications. ABS plastic body, panel mounting. Suitable for textile, process industry, and offset printing machinery.",4200,,Timers & Counters,Sequential Timers,Swastik,SST-968,SST-968,50,4.5,false,,Immediate,timer; sequential; digital; swastik; 4 channel; 8 channel,https://5.imimg.com/data5/SELLER/Default/2026/5/609600809/NJ/AI/JJ/2349477/digital-sequential-timer-500x500.png,Channels: 4 channel & 8 channel | Voltage: 230 V AC | Frequency: 50 to 60 Hz | Dimension: 96x96 mm | Material: ABS Plastic body | Range: 9.999/99.99/999.9/9999/99.59 sec/min/hr | Lower Display: Channel number | Mounting: Panel mounting
Digital Thumbwheel Timer STW,"Panel mount thumbwheel timer with on-delay operation. 1-99 min time range, 2 C/O output contacts. Available in 96x96, 72x72, 48x48, 48x96 sizes. Rust-resistant ABS plastic body.",1389,,Timers & Counters,Thumbwheel Timers,Swastik,STW,STW,50,4.5,false,,Immediate,timer; thumbwheel; digital; swastik; on delay; panel mount,https://5.imimg.com/data5/SELLER/Default/2026/3/590123609/YZ/HB/AN/2349477/digital-thumbwheel-timer-500x500.png,Time Range: 1 min to 99 min | Supply Voltage: 230 V AC | Output Contact: 2 C/O | Operation Mode: On delay | Setting: By Thumbwheel | Size: 96x96 / 72x72 / 48x48 / 48x96 | Material: ABS plastic Body | Display: Single Display | Max Current: 10A
Universal Timer Single Display UT-481,3-digit single display universal timer with preset and cyclic modes. Wide time range 0.1 sec to 999 Hr. NPN/PNP proximity and micro switch input. Front/back reset selectable.,1319,,Timers & Counters,Digital Timers,Swastik,UT-481,UT-481,50,4.5,false,,Immediate,timer; universal; single display; swastik; preset; cyclic,https://5.imimg.com/data5/SELLER/Default/2021/10/NJ/CN/EW/2349477/universal-timer-single-display-500x500.jpeg,Display Type: LED 3-Digit | Timing Capacity: 0.1 sec to 999 Hr | Operation Mode: Preset mode & Cyclic mode | Input: NPN/PNP Proximity & Micro switch | Output: Single Relay OR SSR | Reset: Front/Back reset | Memory: Selectable memory option | Phase: Single Phase | Frequency: 50 to 60 Hz
Digital Thumbwheel Timer Multi-Function STW-U,"Multi-function digital timer with thumbwheel setting. 3/4/5 digit display with timing capacity up to 999 hours. Available in all standard sizes. Rust-resistant, smooth finish.",1368,,Timers & Counters,Thumbwheel Timers,Swastik,STW-U,STW-U,50,4.5,false,,Immediate,timer; thumbwheel; multi-function; swastik; digital,https://5.imimg.com/data5/SELLER/Default/2023/4/300358415/SU/YM/TU/2349477/multi-function-digital-timer-with-thumb-wheel-500x500.JPG,Display Digit: 3/4/5 digit | Timing Capacity: 9.99/99.9/999 sec/min/hour | Mounting: Flush panel Mounting | Phase: Single Phase | Automation Grade: Automatic
BOD Incubators Temperature Controller,Programmable BOD controller with PID control and RTD input. SSR output with heating + cooling. Compact 24x48 mm size designed for laboratory incubators and scientific instruments.,3500,,Temperature Controllers,PID Controllers,Swastik,BOD-Card,BOD-Card,50,4.5,false,,Immediate,temperature controller; bod; incubator; pid; swastik; laboratory,https://5.imimg.com/data5/SELLER/Default/2026/5/607110418/BS/TE/GO/2349477/bod-incubators-temperature-controller-500x500.png,"Control Type: PID | Input Type: RTD | Output Type: SSR, Heating + Cooling | Size: 24x48 mm | Supply Voltage: 230 V AC | Display Type: Single Display | Control Outputs: 2 Output | Automation Grade: Semi Automatic"
Digital Temperature Indicator STI-491,"4-digit single display temperature indicator with thermocouple and RTD input. +/-0.5% accuracy, 0.1C resolution for PT-100. Available in 96x96, 72x72, 48x96, 48x48 sizes.",954,,Panel Meters,Temperature Indicators,Swastik,STI-491,STI-491,50,4.5,false,,Immediate,temperature indicator; digital; thermocouple; rtd; swastik; panel meter,https://5.imimg.com/data5/SELLER/Default/2022/9/CR/AX/WQ/2349477/digital-temperature-indicator-500x500.jpeg,"Function: Indicator Only | Input Type: Thermocouple + RTD | Input: J/K/R/S type TC, PT-100/2W-3W, PT-1000 | Display Type: 4 Digit Red Single Seven Segment | Range: -50 C to 1600 C | Accuracy: +/-0.5% C | Resolution: 0.1 C for PT-100, 1 C for T/C | Supply Voltage: 230 VAC | Size: 48x96 (multiple sizes available)"
Digital Count Totalizer DCT-961,"6-digit digital count totalizer with proximity/NPN/PNP sensor input. High-speed counting with non-volatile memory. Front/back reset. Available in 95x95, 72x72, 48x96 sizes.",1010,,Timers & Counters,Digital Counters,Swastik,DCT-961,DCT-961,50,4.5,false,,Immediate,counter; totalizer; digital; swastik; 6 digit; proximity,https://5.imimg.com/data5/SELLER/Default/2026/5/607199547/OY/GS/GQ/2349477/digital-count-totalizer-500x500.png,Display: 6 digit seven segment red | Count Range: 0-999999 | Input: Proximity/photocell/potential free contact/24VDC pulse/250VAC pulse | Accuracy: +0.01% | Reset: Front/Back Reset | Mode: Up counting | Memory: Non Volatile | Supply: 230 VAC | Sensor Type: Proximity/NPN/PNP
Digital Count Totaliser DCT-491,6-digit single display RED LED counter/totalizer. NPN/PNP/photocell/encoder input. Non-volatile memory with 0.01% accuracy. Available in multiple panel sizes.,1010,,Timers & Counters,Digital Counters,Swastik,DCT-491,DCT-491,50,4.5,false,,Immediate,counter; totaliser; stroke counter; swastik; 6 digit; encoder,https://5.imimg.com/data5/SELLER/Default/2021/10/LW/RP/VO/2349477/digital-stroke-counter-500x500.jpeg,Display: 6 Digit Single RED LED | Range: 0-999999 Count | Sensor: Proximity/Photocell/Encoder | Voltage: 230V AC / Pulse on request / 24VDC | Memory: Non Volatile | Accuracy: 0.01% | Mounting: Flush panel Mounting | Size: 96x96/48x96/72x72/29x56/36x72
Digital Preset Counters PC-961,"4-digit dual display preset counter with proximity/photocell/encoder input. Up/down counting with auto/manual reset. 0-300 Hz frequency, 1 relay output.",1652,,Timers & Counters,Digital Counters,Swastik,PC-961,PC-961,50,4.5,false,,Immediate,counter; preset; digital; swastik; dual display; up down,https://5.imimg.com/data5/SELLER/Default/2021/10/QO/CG/DW/2349477/preset-counter-500x500.jpeg,"Display: 4 digit dual display | Range: 0-9999 count | Input: Proximity/photocell/encoder/potential free contact/24VDC pulse | Accuracy: +0.01% | Frequency: 0-300 Hz | Output: 1 relay | Counting: Up/Down | Reset: Front/Back | Supply: 230 VAC | Size: 96x96, 72x72, 48x48"
Digital Batch Counter BC-961,"6+4 digit dual display batch counter with relay/buzzer output. Upper display shows count, lower shows RPM. NPN/PNP sensor input. Suitable for packaging, plastic, pharmaceutical industries.",1732,,Timers & Counters,Digital Counters,Swastik,BC-961,BC-961,50,4.5,false,,Immediate,counter; batch; digital; swastik; dual display; rpm,https://5.imimg.com/data5/SELLER/Default/2026/5/607211457/JD/AY/BZ/2349477/digital-batch-counter-500x500.png,"Display: Dual (upper: Count / lower: RPM) | Display Digit: 6 + 4 digit | Input: Proximity/Photocell/encoder/potential free contact | Sensor: NPN/PNP | Output: Relay/Buzzer | Counting: Up/Down | Memory: Non-Volatile | Size: 72x72, 96x96 mm | Mounting: Panel"
Digital Length Counter LC-961,Dual display 6D (upper) 4D (lower) length counter with diameter entry scale factor. Proximity/photocell/encoder input. Relay/buzzer output for length measurement applications.,1646,,Timers & Counters,Digital Counters,Swastik,LC-961,LC-961,50,4.5,false,,Immediate,counter; length; digital; swastik; dual display; measurement,https://5.imimg.com/data5/SELLER/Default/2023/4/298115828/FM/XK/HA/2349477/lc-length-counter-500x500.JPG,Display: Dual display 6D (upper) 4D (lower) | Input: Proximity/Photocell/encoder/potential free contact | Sensor: NPN/PNP | Scale Factor: Diameter Entry | Counting: Up | Output: Relay/Buzzer | Size: 96x96 / 72x72 mm | Mounting: Flush panel mounting | Material: ABS Plastic Body
Digital Counter Meter STW-C,"3/4/5 digit thumbwheel counter meter with non-volatile memory. Proximity, photocell, encoder, or potential free contact input. Available in all standard panel sizes.",1694,,Timers & Counters,Digital Counters,Swastik,STW-C,STW-C,50,4.5,false,,Immediate,counter; thumbwheel; digital; swastik; meter,https://5.imimg.com/data5/SELLER/Default/2023/4/299554852/HN/FP/FR/2349477/digital-counter-meter-500x500.JPG,"Display: Single display 3/4/5 digit | Setting: by Thumbwheel | Function: 3/4/5 Digit Counter | Memory: Non-Volatile | Count: 0-999 / 0-9999 / 0-99999 | Sensor: Proximity, photocell, encoder, potential free contact | Size: 96x96 / 72x72 / 48x96 / 48x48 mm"
Digital Tablet Counters TBC-961,8-digit total tablet counter with 4-digit rate display. Rotary station selection. Developed specifically for pharmaceutical industry tablet counting applications.,2634,,Timers & Counters,Digital Counters,Swastik,TBC-961,TBC-961,50,4.5,false,,Immediate,counter; tablet; pharmaceutical; swastik; dual display,https://5.imimg.com/data5/SELLER/Default/2021/10/DS/OQ/TP/2349477/tbc-tablet-counter-500x500.jpeg,Capacity: 0-99999999 | Display: Dual Display | Upper Display: 8 digit (total tablet counting) | Lower Display: 4 digit (rate of tablet) | Station Selection: Rotary | Size: 96x96 mm | Application: Pharmaceutical Industry
Jumbo Display Indicator PI-4041,"Jumbo display counter with 4-inch digit height. Red LED display, temperature/RH/analog input. Wall mount, RS485 communication. 4/5 digit double display for industrial counting.",8780,,Process Indicators,Jumbo Displays,Swastik,PI-4041,PI-4041,50,4.5,false,,Immediate,jumbo display; counter; wall mount; swastik; 4 inch; rs485,https://5.imimg.com/data5/SELLER/Default/2026/5/609602598/MR/CD/WV/2349477/jumbo-display-indicator-500x500.png,"Digit Height: 4 inch | Display Type: Red LED | Input Type: Temperature / RH / Analog | Mounting: Wall Mount | No. of Digits: 4 Digit (Double, 4/5 Digit) | Communication: RS485 | Size: Jumbo 4 / 2 Inch | Counting Range: 0-9999 | Frequency: 50/60 Hz"
Jumbo Process Indicator PI-4042-2,"4-inch jumbo display process indicator with 4-20mA input. Wall mounting with metal powder-coated enclosure. Relay output, -50C to 2300C range. Suitable for temperature, humidity, load cell indication.",9550,,Process Indicators,Jumbo Displays,Swastik,PI-4042-2,PI-4042-2,50,4.5,false,,Immediate,jumbo display; process indicator; wall mount; swastik; 4 inch,https://5.imimg.com/data5/SELLER/Default/2026/5/609604721/GD/VF/NO/2349477/jumbo-process-indicator-500x500.png,Input Type: 4-20 mA | Display Size: 4 inch | Display Type: Digital | Supply Voltage: 230 VAC | Output Type: Relay | Size: 12.5x12.5x5 inches | Material: Swat Metal with powder coating | Temp Range: -50 C to 2300 C | Mounting: Wall mounting
Jumbo Display Indicator PI-4042,"4-inch height red seven segment jumbo display with 2-inch single display. TC/RTD, proximity/photocell, or 4-20mA/0-10VDC input. Sheet metal fabricated powder-coated enclosure.",6732,,Process Indicators,Jumbo Displays,Swastik,PI-4042,PI-4042,50,4.5,false,,Immediate,jumbo display; indicator; wall mount; swastik; seven segment,https://5.imimg.com/data5/SELLER/Default/2021/10/KB/XF/AX/2349477/jumbo-display-indicator-500x500.jpeg,"Display: 4 inch height, Red Seven Segment (5D 2 inch single display) | Power Supply: 230 VAC, 50 Hz | Accuracy: +/- 0.5% of FSD | Sensor: TC/RTD, or Proximity/Photocell, or 4-20mA/0-10 VDC | Size: 430x230x90 mm | Enclosure: Sheet Metal Fabricated Powder coated | Mounting: Wall Mounted | Alarm Output: 2"
Jumbo Display Indicator PI-2051,"PID/On-Off jumbo temperature controller with 2-inch display. Thermocouple input, -50 to 2300C range. Sheet metal powder-coated body. Weight/load/temperature/process indication.",6587,,Process Indicators,Jumbo Displays,Swastik,PI-2051,PI-2051,50,4.5,false,,Immediate,jumbo display; temperature controller; pid; swastik; 2 inch,https://5.imimg.com/data5/SELLER/Default/2021/10/XZ/AB/NQ/2349477/jumbo-pid-on-off-temperature-controller-and-indicator-500x500.jpeg,Control Type: PID/On-Off | Input Type: Thermocouple | Temperature Range: -50 to 2300 C | Display Type: Jumbo Display 2 inch | Voltage: 100-240 VAC | Frequency: 50/60 Hz | Material: Sheet metal with powder coating | Input: 4-20 mA | Alarm Output: 2
Three Phase Digital Energy Meter EM-96,"CT operated digital energy meter with kWh/kVArh function. 3x230/400V rating, 5A CT. 96x96 panel mount design. Perfect for industrial panel making systems.",1713,,Panel Meters,Energy Meters,Swastik,EM-96,EM-96,50,4.5,false,,Immediate,energy meter; kwh; three phase; swastik; ct operated; panel mount,https://5.imimg.com/data5/SELLER/Default/2026/5/607114871/OX/BF/WB/2349477/three-phase-digital-energy-meter-500x500.png,Meter Type: CT Operated | Current Rating: 5A CT | Function Type: kWh kVArh | Voltage Rating: 3x230/400 V | Screen Size: 96x96 | Operating Temperature: 60 C | Mounting Type: Panel Mount | Type: Digital
Digital Power Meter PM-96,LED display digital power meter for industrial applications. 96x96 ABS plastic body. Measures power parameters for panel monitoring and energy management.,1800,,Panel Meters,Power Meters,Swastik,PM-96,PM-96,50,4.5,false,,Immediate,power meter; digital; swastik; led; panel mount,https://5.imimg.com/data5/SELLER/Default/2023/4/299640182/DD/UA/QH/2349477/digital-power-meter-500x500.JPG,Display Size: 96x96 | Display Type: LED | Material: ABS Plastic Body | Usage/Application: Industrial | Country of Origin: Made in India
Swastik MFM Meter MFM-96,"True multi-function meter combining energy meter, KW meter, and power meter in one unit. 96x96 LED display, 285V AC. Ideal for comprehensive electrical parameter monitoring.",2749,,Panel Meters,Multi-Function Meters,Swastik,MFM-96,MFM-96,50,4.5,false,,Immediate,multi function meter; mfm; energy meter; power meter; swastik,https://5.imimg.com/data5/SELLER/Default/2026/5/609601477/DA/PN/WN/2349477/swastik-mfm-meter-500x500.png,Dimension: 96x96 | Type: Multi Function Meter | Voltage: 285 V AC | Display Type: LED | Usage/Application: Industrial
Digital AVF Meter AVF-961,"Ampere-Volt-Frequency meter with 3-phase measurement. CT ratio selectable up to 999A AC. True RMS indication with P-P, P-N display. Adjustable scroll time.",1677,,Panel Meters,AVF Meters,Swastik,AVF-961,AVF-961,50,4.5,false,,Immediate,avf meter; ampere; volt; frequency; swastik; three phase,https://5.imimg.com/data5/SELLER/Default/2026/5/607162228/BB/BC/FL/2349477/digital-avf-meter-500x500.png,"Phase: 3 | Input: CT Ratio Selectable up to 999 A AC | Accuracy: 0.5% | Display: 3 digit True RMS indication | Indication: P-P, P-N display | Scan Time: Different Display Scroll time adjustable | Supply: 230 VAC | Size: 96x96 | Enclosure: Plastic"
Digital Panel AC Ampere Meter DPM-961,"4-digit single display AC ampere meter. Input range 0-1000/5A CT selectable. Measures 20-650VAC, 5A/20A AC. Available in 48x48, 48x96, 72x72, 96x96 sizes.",1000,,Panel Meters,Ampere Meters,Swastik,DPM-961,DPM-961,50,4.5,false,,Immediate,ampere meter; ac; digital; panel meter; swastik,https://5.imimg.com/data5/SELLER/Default/2023/4/298331794/VB/MR/FV/2349477/digital-panel-ac-ampere-meter-500x500.JPG,"Display: 4 digit single display | Input AC Volt: 20 VAC to 650 VAC | Input AC Amp: 5A AC / 20A AC Direct | Input DC Amp: 75 mV DC / Shunt | Input DC Volt: 1 VDC to 650 VDC | Accuracy: +0.7% | Power Supply: 230 VAC +/-10%, 50 Hz | Size: 48x48/48x96/72x72/96x96"
Three Phase Volt Meter DPM-961-V-3P,3-phase 4-wire digital volt meter with bright 3-digit 3-row LED display. 0-500V range. 96x96 mm panel mount for industrial panel and motor control applications.,1098,,Panel Meters,Volt Meters,Swastik,DPM-961-V-3P,DPM-961-V-3P,50,4.5,false,,Immediate,volt meter; three phase; digital; swastik; panel mount,https://5.imimg.com/data5/SELLER/Default/2023/4/298031676/CC/EL/EQ/2349477/three-phase-volt-meter-500x500.JPG,"Display Type: Digital bright 3 Digit 3 Row LED display | Voltage Range: 0-500 V | Phase: 3 phase, 4 wire | Dimension: 96x96 mm | Power Supply: 230 V AC | Voltage: 415 V AC phase to phase / single phase | Cutout Size: 96x96 mm | Display Color: Red"
Digital Panel DC Volt Meter DPM-491-V-DC,4-digit single display DC voltmeter with programmable range 0-500.0V DC. +/-0.5% accuracy. Compact 48x96 size for industrial DC voltage monitoring.,687,,Panel Meters,Volt Meters,Swastik,DPM-491-V-DC,DPM-491-V-DC,50,4.5,false,,Immediate,dc voltmeter; digital; panel meter; swastik; 48x96,https://5.imimg.com/data5/SELLER/Default/2023/4/299340486/AK/TO/YQ/2349477/digital-panel-dc-volt-meter-500x500.JPG,Display: 4 Digit Single Display | Programmable Range: 0-500.0 V DC | Accuracy: +0.5% | Aux Supply: 230 VAC | Size: 48x96 | Display Type: RED Single display
Digital Panel Voltmeter DPM-721-V-AC,"Low operational cost AC voltmeter with accurate measurements. 4-digit single display, 0-500.0VAC range. User-friendly interface for industrial voltage monitoring.",648,,Panel Meters,Volt Meters,Swastik,DPM-721-V-AC,DPM-721-V-AC,50,4.5,false,,Immediate,ac voltmeter; digital; panel meter; swastik; low cost,https://5.imimg.com/data5/SELLER/Default/2022/9/DJ/SG/LK/2349477/digital-panel-meter-ac-volt-meter-500x500.jpeg,Display Type: 4 digit single display (LCD) | Range: 0-500.0 VAC | Accuracy: +0.5% | Aux Supply: 230 VAC | Phase: Single phase | Size: 48x96
Swastik AVF Meter 4 Digit AVF-961-4D,"4-digit bright LED AVF meter measuring voltage, frequency, current, load hour, and RPM. Programmable CT ratio. Three-phase panel mount for electrical industries.",1000,,Panel Meters,AVF Meters,Swastik,AVF-961-4D,AVF-961-4D,50,4.5,false,,Immediate,avf meter; 4 digit; voltage; current; frequency; swastik,https://5.imimg.com/data5/SELLER/Default/2026/5/607516375/GT/NY/UO/2349477/swastik-avf-meter-4-digit-500x500.png,"Phase: Three Phase | Input Voltage: 230 V AC | Digit Display: 4 Digit | Features: Voltage, current, Load hour, CT ratio, RPM | Operating Temperature: 50 C | AC Voltage: 230 V AC | Mounting Type: Panel Mount"
